nb_bit	taps	seed	TF coverage	num of test patterns	weights	freq of zeros
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 1, 0, 0, 0, 1, 0, 1]	63.0007%	2000	0.5, 0.25	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 1, 1, 0, 0, 1, 1, 0, 0]	65.9874%	2000	0.5, 0.25	0.8, 0.2	0.509538
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	64.0197%	2000	0.5, 0.25	0.5	0.524870
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.6008%	2000	0.5, 0.25	0.8, 0.2	0.509626
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 0, 0, 0, 1, 1, 0, 1, 0, 1]	63.0007%	2000	0.5, 0.75	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 1, 1, 0, 0, 1, 1, 1, 0]	66.5495%	2000	0.5, 0.75	0.9, 0.1	0.522519
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.4954%	2000	0.5, 0.75	0.5	0.613453
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.3387%	2000	0.5, 0.75	0.9, 0.1	0.522406
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 0, 1, 1, 0, 1, 1, 0, 0]	63.0007%	2000	0.5, 0.125	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 0, 1, 0, 1, 1, 1, 0, 1]	66.0576%	2000	0.5, 0.125	0.9, 0.1	0.485157
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	63.0007%	2000	0.5, 0.125	0.5	0.349556
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.9874%	2000	0.5, 0.125	0.9, 0.1	0.469633
10	10, 9, 7, 6	[0, 0, 1, 1, 1, 1, 1, 0, 1, 0][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 0, 1, 0, 0, 0, 0, 1, 0, 1]	63.0007%	2000	0.25, 0.5, 0.75	0.3333333333333333	0.499514
