nb_bit	taps	seed	TF coverage	num of test patterns	weights	freq of zeros
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1]	57.3085%	2000	0.5, 0.125	0.9, 0.1	0.465258
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.4301%	2000	0.5, 0.125	0.5	0.327906
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.3085%	2000	0.5, 0.125	0.9, 0.1	0.465206
13	13, 12, 10, 9	[0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1]	56.4301%	2000	0.25, 0.5, 0.75	0.3333333333333333	0.500322
13	13, 12, 10, 9	[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]	58.4329%	2000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.530901
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.7814%	2000	0.25, 0.5, 0.75	0.3333333333333333	0.604294
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.0112%	2000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.531508
13	13, 12, 10, 9	[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0][1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]	58.8545%	2000	0.125, 0.25, 0.5, 0.75	0.25	0.522863
13	13, 12, 10, 9	[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0][1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]	57.9761%	2000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.496504
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	55.9382%	2000	0.125, 0.25, 0.5, 0.75	0.25	0.492474
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.0815%	2000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.496537
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]	58.8545%	3000	0.5, 0.25	0.5	0.522863
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]	57.8707%	3000	0.5, 0.25	0.8, 0.2	0.514916
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.3788%	3000	0.5, 0.25	0.5	0.537925
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.8707%	3000	0.5, 0.25	0.8, 0.2	0.514975
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]	58.8545%	3000	0.5, 0.75	0.5	0.522863
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]	58.8545%	3000	0.5, 0.75	0.9, 0.1	0.523568
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.1167%	3000	0.5, 0.75	0.5	0.617035
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.6788%	3000	0.5, 0.75	0.9, 0.1	0.524663
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1]	59.0302%	3000	0.5, 0.125	0.5	0.523517
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1]	58.1167%	3000	0.5, 0.125	0.9, 0.1	0.478780
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.0625%	3000	0.5, 0.125	0.5	0.327131
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.9410%	3000	0.5, 0.125	0.9, 0.1	0.466013
13	13, 12, 10, 9	[1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]	59.0302%	3000	0.25, 0.5, 0.75	0.3333333333333333	0.523517
13	13, 12, 10, 9	[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]	58.7140%	3000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.523125
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.5545%	3000	0.25, 0.5, 0.75	0.3333333333333333	0.604559
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.5032%	3000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.530094
13	13, 12, 10, 9	[1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0][1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]	59.3816%	3000	0.125, 0.25, 0.5, 0.75	0.25	0.531379
13	13, 12, 10, 9	[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1][0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]	59.0654%	3000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.488675
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.7814%	3000	0.125, 0.25, 0.5, 0.75	0.25	0.491421
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.6086%	3000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.495690
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]	59.3816%	4000	0.5, 0.25	0.5	0.531379
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]	58.7843%	4000	0.5, 0.25	0.8, 0.2	0.499844
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.7301%	4000	0.5, 0.25	0.5	0.537872
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.6788%	4000	0.5, 0.25	0.8, 0.2	0.515039
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1]	59.3816%	4000	0.5, 0.75	0.5	0.531379
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]	59.2059%	4000	0.5, 0.75	0.9, 0.1	0.524106
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.5734%	4000	0.5, 0.75	0.5	0.616389
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	59.2059%	4000	0.5, 0.75	0.9, 0.1	0.523243
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0]	59.4519%	4000	0.5, 0.125	0.5	0.523540
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]	58.6788%	4000	0.5, 0.125	0.9, 0.1	0.477872
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.4139%	4000	0.5, 0.125	0.5	0.327046
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.5032%	4000	0.5, 0.125	0.9, 0.1	0.465093
13	13, 12, 10, 9	[0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]	59.6275%	4000	0.25, 0.5, 0.75	0.3333333333333333	0.582218
13	13, 12, 10, 9	[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]	59.7681%	4000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.524260
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	59.2059%	4000	0.25, 0.5, 0.75	0.3333333333333333	0.603234
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	59.5573%	4000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.530868
13	13, 12, 10, 9	[1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1][0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]	59.7681%	4000	0.125, 0.25, 0.5, 0.75	0.25	0.530488
13	13, 12, 10, 9	[1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0][1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1][1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0]	58.9951%	4000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.490784
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.1518%	4000	0.125, 0.25, 0.5, 0.75	0.25	0.491240
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	59.1005%	4000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.497111
15	15, 14, 13, 11	[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]	62.3331%	1000	0.5	1.0	0.501183
15	15, 14, 13, 11	[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]	64.7576%	2000	0.5	1.0	0.501183
15	15, 14, 13, 11	[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]	66.3387%	3000	0.5	1.0	0.501183
15	15, 14, 13, 11	[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]	66.8658%	4000	0.5	1.0	0.501183
15	15, 14, 13, 11	[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]	64.3008%	1000	0.5	1.0	0.499012
15	15, 14, 13, 11	[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]	65.5306%	2000	0.5	1.0	0.499012
15	15, 14, 13, 11	[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]	66.4090%	3000	0.5	1.0	0.499012
15	15, 14, 13, 11	[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]	66.9009%	4000	0.5	1.0	0.499012
15	15, 14, 13, 11	[1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]	62.7547%	1000	0.5	1.0	0.500389
15	15, 14, 13, 11	[1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]	64.5819%	2000	0.5	1.0	0.500389
15	15, 14, 13, 11	[1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]	66.3387%	3000	0.5	1.0	0.500389
15	15, 14, 13, 11	[1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]	66.8306%	4000	0.5	1.0	0.500389
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	63.9494%	1000	0.5	1.0	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	66.4090%	2000	0.5	1.0	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	68.0956%	3000	0.5	1.0	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	68.6929%	4000	0.5	1.0	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]	63.9494%	1000	0.5, 0.25	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]	62.7196%	1000	0.5, 0.25	0.8, 0.2	0.501467
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	62.2980%	1000	0.5, 0.25	0.5	0.512774
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	62.5088%	1000	0.5, 0.25	0.8, 0.2	0.504264
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1]	63.9494%	1000	0.5, 0.75	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]	64.1251%	1000	0.5, 0.75	0.9, 0.1	0.523312
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	59.5924%	1000	0.5, 0.75	0.5	0.567562
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	63.8440%	1000	0.5, 0.75	0.9, 0.1	0.522872
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]	63.9494%	1000	0.5, 0.125	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0]	63.2467%	1000	0.5, 0.125	0.9, 0.1	0.466079
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	59.5573%	1000	0.5, 0.125	0.5	0.346014
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	63.2467%	1000	0.5, 0.125	0.9, 0.1	0.466057
15	15, 14, 13, 11	[0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]	63.9494%	1000	0.25, 0.5, 0.75	0.3333333333333333	0.499662
15	15, 14, 13, 11	[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]	62.8953%	1000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.525284
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	61.2439%	1000	0.25, 0.5, 0.75	0.3333333333333333	0.558914
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	62.5088%	1000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.523729
15	15, 14, 13, 11	[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0][0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1]	63.9494%	1000	0.125, 0.25, 0.5, 0.75	0.25	0.499662
15	15, 14, 13, 11	[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1][0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]	61.3844%	1000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.495187
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	59.4167%	1000	0.125, 0.25, 0.5, 0.75	0.25	0.499791
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	62.1574%	1000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.498830
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]	63.9494%	2000	0.5, 0.25	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]	66.3036%	2000	0.5, 0.25	0.8, 0.2	0.505424
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	65.2846%	2000	0.5, 0.25	0.5	0.516474
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	66.1630%	2000	0.5, 0.25	0.8, 0.2	0.505603
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]	63.9494%	2000	0.5, 0.75	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0]	66.4793%	2000	0.5, 0.75	0.9, 0.1	0.526784
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	64.9684%	2000	0.5, 0.75	0.5	0.614165
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	66.5847%	2000	0.5, 0.75	0.9, 0.1	0.525806
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]	63.9494%	2000	0.5, 0.125	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]	66.1630%	2000	0.5, 0.125	0.9, 0.1	0.469568
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	63.9845%	2000	0.5, 0.125	0.5	0.348438
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	66.1630%	2000	0.5, 0.125	0.9, 0.1	0.469581
15	15, 14, 13, 11	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]	63.9494%	2000	0.25, 0.5, 0.75	0.3333333333333333	0.499662
15	15, 14, 13, 11	[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]	64.6873%	2000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.519364
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	64.6521%	2000	0.25, 0.5, 0.75	0.3333333333333333	0.598717
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	64.9332%	2000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.529410
15	15, 14, 13, 11	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1][1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]	63.9494%	2000	0.125, 0.25, 0.5, 0.75	0.25	0.499662
15	15, 14, 13, 11	[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1][0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0][0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1]	64.1251%	2000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.499007
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	62.8250%	2000	0.125, 0.25, 0.5, 0.75	0.25	0.469222
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	64.5116%	2000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.500015
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]	63.9494%	3000	0.5, 0.25	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]	67.8145%	3000	0.5, 0.25	0.8, 0.2	0.507078
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	67.6037%	3000	0.5, 0.25	0.5	0.516237
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	67.4982%	3000	0.5, 0.25	0.8, 0.2	0.507052
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]	63.9494%	3000	0.5, 0.75	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1]	67.8848%	3000	0.5, 0.75	0.9, 0.1	0.526147
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	65.8819%	3000	0.5, 0.75	0.5	0.568814
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	67.7091%	3000	0.5, 0.75	0.9, 0.1	0.526207
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]	63.9494%	3000	0.5, 0.125	0.5	0.499662
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0][0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]	67.7091%	3000	0.5, 0.125	0.9, 0.1	0.470104
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	65.7063%	3000	0.5, 0.125	0.5	0.348913
15	15, 14, 13, 11	[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]	67.7091%	3000	0.5, 0.125	0.9, 0.1	0.470073
